time,meas_qw,meas_qx,meas_qy,meas_qz,true_qw,true_qx,true_qy,true_qz,wx,wy,wz
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.9999999992953995,2.6602707812269476e-05,-2.646075390649751e-05,1.1512977381077188e-06,0.9999999992953995,2.6602707812269476e-05,-2.646075390649751e-05,1.1512977381077188e-06,0.026602707818517576,-0.026460753912712267,0.001151297738378121
0.004,0.9999999936594428,7.980518005035865e-05,-7.937455731105108e-05,3.4535944362176553e-06,0.9999999936594428,7.980518005035865e-05,-7.937455731105108e-05,3.4535944362176553e-06,0.05320247240147055,-0.05291380357066257,0.0023022965780649988
0.006,0.9999999746444351,0.00015959877842003804,-0.00015871880153610636,6.906585216989177e-06,0.9999999746444351,0.00015959877842003804,-0.00015871880153610636,6.906585216989177e-06,0.07979359960657048,-0.07934424540706023,0.0034529893319913746
0.008,0.9999999295956008,0.0002659691669202578,-0.000264455510230819,1.1509951817120678e-05,0.9999999295956008,0.0002659691669202578,-0.000264455510230819,1.1509951817120678e-05,0.10637039375329264,-0.10573671352505891,0.004603359280779257
0.01,0.9999998416733663,0.0003988960798390941,-0.0003965313815189748,1.7263358360862368e-05,0.9999998416733663,0.0003988960798390941,-0.0003965313815189748,1.7263358360862368e-05,0.13292692905660614,-0.13207588576824258,0.005753382039236739
0.012,0.9999996898842151,0.0005583533625358831,-0.0005548774452229867,2.416645004666929e-05,0.9999996898842151,0.0005583533625358831,-0.0005548774452229867,2.416645004666929e-05,0.15945732304956062,-0.15834609930878385,0.006903027078878072
0.014,0.9999994491203896,0.0007443083034929937,-0.0007394092318765954,3.221885386418696e-05,0.9999994491203896,0.0007443083034929937,-0.0007394092318765954,3.221885386418696e-05,0.18595502846895834,-0.18453186291861917,0.00805225897194818
0.016,0.9999990902083895,0.0009567217363580243,-0.0009500264633617304,4.1420181941259076e-05,0.9999990902083895,0.0009567217363580243,-0.0009500264633617304,4.1420181941259076e-05,0.2124136038638708,-0.2106173790796557,0.009201038410346243
0.018000000000000002,0.9999985799671668,0.0011955476199998003,-0.0011866125743074172,5.177003690633373e-05,0.9999985799671668,0.0011955476199998003,-0.0011866125743074172,5.177003690633373e-05,0.23882619221780496,-0.23658637518500125,0.010349323043530511
0.020000000000000004,0.9999978812758568,0.0014607328608168453,-0.001449034321328331,6.326801941077719e-05,0.9999978812758568,0.0014607328608168453,-0.001449034321328331,6.326801941077719e-05,0.2651857637887805,-0.2624221918068873,0.011497068168982478
0.022000000000000006,0.9999969531516133,0.0017522166998177728,-0.0017371416843170793,7.591373662641945e-05,0.9999969531516133,0.0017522166998177728,-0.0017371416843170793,7.591373662641945e-05,0.29148468143255113,-0.28810807511634645,0.01264422730348578
0.024000000000000007,0.9999957508385158,0.0020699302418101273,-0.0020507672697155288,8.970681302928575e-05,0.9999957508385158,0.0020699302418101273,-0.0020507672697155288,8.970681302928575e-05,0.31771484328206717,-0.31362667920817877,0.013790752658821978
0.02600000000000001,0.9999942259076625,0.0024137960203072005,-0.00238972574424643,0.00010464690296217721,0.9999942259076625,0.0024137960203072005,-0.00238972574424643,0.00010464690296217721,0.3438677189935626,-0.3389600968624246,0.014936595541095088
0.02800000000000001,0.9999923263686638,0.0027837274573811275,-0.0027538134656426186,0.00012073370421961011,0.9999923263686638,0.0027837274573811275,-0.0027538134656426186,0.00012073370421961011,0.36993424517277246,-0.3640900567837782,0.016081706688593926
0.030000000000000013,0.9999899967930577,0.0031796282615573182,-0.003142808147629998,0.00013796697266653689,0.9999899967930577,0.0031796282615573182,-0.003142808147629998,0.00013796697266653689,0.3959047638674288,-0.38899795804199544,0.017226036560188562
0.032000000000000015,0.9999871784503231,0.003601391982584626,-0.0035564682633930094,0.00015634653926154302,0.9999871784503231,0.003601391982584626,-0.0035564682633930094,0.00015634653926154302,0.4217691798946595,-0.41366460870545113,0.018369535584103924
0.034000000000000016,0.9999838094584972,0.0040489011307516636,-0.003994532441860316,0.00017587232724370242,0.9999838094584972,0.0040489011307516636,-0.003994532441860316,0.00017587232724370242,0.44751652577272333,-0.4380702186697742,0.019512154375273476
0.03600000000000002,0.9999798249477653,0.004522026559443653,-0.004456718921101534,0.00019654437110703176,0.9999798249477653,0.004522026559443653,-0.004456718921101534,0.00019654437110703176,0.4731352252947889,-0.4621944567907237,0.020653843928770472
0.03800000000000002,0.9999751572376722,0.005020626863463591,-0.0049427250642918984,0.00021836283663639452,0.9999751572376722,0.005020626863463591,-0.0049427250642918984,0.00021836283663639452,0.49861310956782123,-0.4860165133763098,0.021794555794216568
0.04000000000000002,0.9999697360296996,0.005544547747280502,-0.005452226677761615,0.0002413280429526507,0.9999697360296996,0.005544547747280502,-0.005452226677761615,0.0002413280429526507,0.5239373872070437,-0.5095149021026847,0.02293424223446174
0.04200000000000002,0.9999634886172108,0.006093621076379309,-0.005984877277178658,0.0002654404846089725,0.9999634886172108,0.006093621076379309,-0.005984877277178658,0.0002654404846089725,0.5490943276192677,-0.5326674078197896,0.02407285637244648
0.044000000000000025,0.9999563401117665,0.006667663804949548,-0.006540307537002464,0.00029070085278877186,0.9999563401117665,0.006667663804949548,-0.006540307537002464,0.00029070085278877186,0.5740691373973663,-0.5554512694222609,0.025210352330661788
0.04600000000000003,0.9999482136833359,0.0072664774932667065,-0.00711812458119677,0.00031711006166176186,0.9999482136833359,0.0072664774932667065,-0.00711812458119677,0.00031711006166176186,0.5988465500996213,-0.5778430207930529,0.026346685366034815
